Taxonomy,sample,relab,timepoint,mouse_id
Rikenellaceae,D6M38,0.0772030881235249,D6,M38
Deferribacteraceae,D6M38,0.0055202208088323,D6,M38
Oscillospiraceae,D6M38,0.0094803792151686,D6,M38
Ruminococcaceae,D6M38,0.0077203088123524,D6,M38
Muribaculaceae,D6M39,0.539461578463139,D6,M39
Bacteroidaceae,D6M39,0.0992039681587263,D6,M39
Lachnospiraceae,D6M39,0.120004800192008,D6,M39
Lactobacillaceae,D6M39,0.0559222368894756,D6,M39
Erysipelotrichaceae,D6M39,0.0192407696307852,D6,M39
Akkermansiaceae,D6M39,0.000640025601024,D6,M39
Rikenellaceae,D6M39,0.0885635425417017,D6,M39
Deferribacteraceae,D6M39,0.0049601984079363,D6,M39
Oscillospiraceae,D6M39,0.0094403776151046,D6,M39
Ruminococcaceae,D6M39,0.0092803712148485,D6,M39
Muribaculaceae,D6M40,0.46681867274691,D6,M40
Bacteroidaceae,D6M40,0.138165526621065,D6,M40
Lachnospiraceae,D6M40,0.0990839633585343,D6,M40
Lactobacillaceae,D6M40,0.0638425537021481,D6,M40
Erysipelotrichaceae,D6M40,0.0214808592343694,D6,M40
Akkermansiaceae,D6M40,0.00080003200128,D6,M40
Rikenellaceae,D6M40,0.106284251370055,D6,M40
Deferribacteraceae,D6M40,0.0045201808072322,D6,M40
Oscillospiraceae,D6M40,0.0112004480179207,D6,M40
Ruminococcaceae,D6M40,0.0144805792231689,D6,M40
Muribaculaceae,D9M31,0.354694187767511,D9,M31
Bacteroidaceae,D9M31,0.192167686707468,D9,M31
Lachnospiraceae,D9M31,0.252370094803792,D9,M31
Lactobacillaceae,D9M31,0.0504020160806432,D9,M31
Erysipelotrichaceae,D9M31,0.0148405936237449,D9,M31
Akkermansiaceae,D9M31,0.001440057602304,D9,M31
Rikenellaceae,D9M31,0.046321852874115,D9,M31
Deferribacteraceae,D9M31,0.0076803072122884,D9,M31
Oscillospiraceae,D9M31,0.0072402896115844,D9,M31
Ruminococcaceae,D9M31,0.0056002240089603,D9,M31
Muribaculaceae,D9M32,0.436017440697628,D9,M32
Bacteroidaceae,D9M32,0.102844113764551,D9,M32
Lachnospiraceae,D9M32,0.165446617864715,D9,M32
Lactobacillaceae,D9M32,0.0228009120364815,D9,M32
